"year","age"
2001,0
2001,2
2001,2
2001,6
2001,16
2001,18
2001,25
2001,30
2001,32
2001,34
2001,37
2001,37
2001,37
2001,40
2001,40
2001,41
2001,43
2001,44
2001,44
2001,45
2001,46
2001,47
2001,48
2001,49
2001,50
2001,51
2001,52
2001,52
2001,52
2001,53
2001,53
2001,53
2001,53
2001,54
2001,56
2001,56
2001,58
2001,58
2001,59
2001,59
2001,60
2001,61
2001,61
2001,61
2001,62
2001,62
2001,63
2001,63
2001,64
2001,64
2001,64
2001,65
2001,65
2001,66
2001,66
2001,69
2001,69
2001,70
2001,70
2001,70
2001,71
2001,71
2001,72
2001,72
2001,72
2001,73
2001,73
2001,73
2001,73
2001,73
2001,75
2001,75
2001,75
2001,76
2001,76
2001,77
2001,77
2001,78
2001,78
2001,78
2001,78
2001,78
2001,79
2001,79
2001,79
2001,79
2001,79
2001,80
2001,80
2001,80
2001,81
2001,81
2001,81
2001,81
2001,81
2001,82
2001,82
2001,82
2001,82
2001,82
2001,82
2001,83
2001,83
2001,83
2001,83
2001,83
2001,83
2001,84
2001,84
2001,84
2001,84
2001,85
2001,85
2001,85
2001,86
2001,86
2001,86
2001,87
2001,87
2001,87
2001,87
2001,88
2001,88
2001,88
2001,89
2001,89
2001,89
2001,90
2001,90
2001,91
2001,91
2001,91
2001,91
2001,92
2001,93
2001,93
2001,93
2001,96
2001,98
2001,100
2002,3
2002,9
2002,17
2002,19
2002,23
2002,25
2002,26
2002,27
2002,29
2002,29
2002,30
2002,31
2002,34
2002,35
2002,35
2002,37
2002,38
2002,39
2002,39
2002,39
2002,40
2002,40
2002,40
2002,41
2002,43
2002,43
2002,44
2002,46
2002,46
2002,47
2002,47
2002,47
2002,47
2002,47
2002,48
2002,48
2002,48
2002,49
2002,49
2002,50
2002,51
2002,52
2002,52
2002,52
2002,52
2002,53
2002,54
2002,54
2002,54
2002,54
2002,56
2002,56
2002,56
2002,56
2002,57
2002,57
2002,57
2002,57
2002,57
2002,57
2002,58
2002,58
2002,59
2002,59
2002,59
2002,60
2002,61
2002,62
2002,62
2002,63
2002,64
2002,64
2002,64
2002,64
2002,64
2002,64
2002,64
2002,65
2002,65
2002,65
2002,65
2002,65
2002,65
2002,66
2002,66
2002,66
2002,67
2002,67
2002,67
2002,68
2002,68
2002,68
2002,68
2002,68
2002,69
2002,69
2002,69
2002,70
2002,70
2002,71
2002,71
2002,71
2002,71
2002,72
2002,72
2002,72
2002,72
2002,72
2002,73
2002,73
2002,73
2002,73
2002,73
2002,74
2002,74
2002,74
2002,74
2002,74
2002,75
2002,75
2002,76
2002,76
2002,76
2002,76
2002,76
2002,76
2002,76
2002,77
2002,77
2002,77
2002,77
2002,77
2002,77
2002,77
2002,78
2002,78
2002,78
2002,78
2002,78
2002,78
2002,78
2002,79
2002,79
2002,79
2002,79
2002,79
2002,79
2002,79
2002,79
2002,79
2002,80
2002,80
2002,80
2002,80
2002,80
2002,80
2002,80
2002,80
2002,80
2002,80
2002,81
2002,81
2002,81
2002,81
2002,81
2002,81
2002,81
2002,81
2002,81
2002,81
2002,82
2002,82
2002,82
2002,82
2002,82
2002,82
2002,83
2002,83
2002,83
2002,83
2002,83
2002,83
2002,83
2002,84
2002,84
2002,84
2002,84
2002,84
2002,84
2002,84
2002,84
2002,84
2002,85
2002,85
2002,85
2002,85
2002,85
2002,85
2002,85
2002,85
2002,85
2002,85
2002,85
2002,86
2002,86
2002,86
2002,86
2002,86
2002,86
2002,86
2002,86
2002,87
2002,87
2002,87
2002,87
2002,88
2002,88
2002,88
2002,88
2002,88
2002,88
2002,89
2002,89
2002,89
2002,89
2002,89
2002,89
2002,90
2002,90
2002,90
2002,90
2002,90
2002,91
2002,91
2002,91
2002,91
2002,91
2002,92
2002,92
2002,92
2002,92
2002,92
2002,94
2002,94
2002,94
2002,94
2002,95
2002,95
2002,95
2002,96
2002,98
2002,99
2003,4
2003,6
2003,11
2003,16
2003,19
2003,20
2003,20
2003,22
2003,24
2003,26
2003,28
2003,28
2003,29
2003,29
2003,33
2003,34
2003,34
2003,35
2003,36
2003,37
2003,38
2003,38
2003,38
2003,38
2003,38
2003,38
2003,38
2003,39
2003,41
2003,41
2003,41
2003,43
2003,45
2003,45
2003,47
2003,52
2003,52
2003,53
2003,53
2003,53
2003,54
2003,54
2003,54
2003,54
2003,54
2003,55
2003,56
2003,56
2003,56
2003,57
2003,57
2003,58
2003,58
2003,59
2003,59
2003,59
2003,60
2003,60
2003,61
2003,61
2003,61
2003,61
2003,62
2003,63
2003,63
2003,63
2003,64
2003,64
2003,65
2003,65
2003,65
2003,66
2003,66
2003,66
2003,66
2003,66
2003,66
2003,66
2003,67
2003,67
2003,67
2003,67
2003,67
2003,68
2003,68
2003,68
2003,68
2003,68
2003,69
2003,69
2003,69
2003,70
2003,70
2003,70
2003,70
2003,70
2003,70
2003,71
2003,71
2003,71
2003,71
2003,71
2003,71
2003,71
2003,72
2003,72
2003,72
2003,72
2003,72
2003,72
2003,72
2003,73
2003,73
2003,73
2003,73
2003,73
2003,73
2003,73
2003,73
2003,73
2003,74
2003,74
2003,74
2003,74
2003,74
2003,75
2003,75
2003,75
2003,75
2003,76
2003,76
2003,77
2003,77
2003,77
2003,77
2003,77
2003,77
2003,77
2003,77
2003,77
2003,77
2003,77
2003,78
2003,78
2003,78
2003,78
2003,78
2003,78
2003,79
2003,79
2003,79
2003,79
2003,79
2003,79
2003,79
2003,79
2003,79
2003,79
2003,79
2003,79
2003,80
2003,80
2003,80
2003,80
2003,80
2003,80
2003,81
2003,81
2003,81
2003,81
2003,81
2003,81
2003,81
2003,82
2003,82
2003,82
2003,82
2003,82
2003,82
2003,82
2003,83
2003,83
2003,83
2003,83
2003,83
2003,83
2003,83
2003,83
2003,83
2003,83
2003,84
2003,84
2003,84
2003,84
2003,84
2003,84
2003,84
2003,84
2003,85
2003,85
2003,85
2003,85
2003,85
2003,86
2003,86
2003,86
2003,86
2003,86
2003,86
2003,86
2003,87
2003,87
2003,87
2003,87
2003,87
2003,87
2003,87
2003,87
2003,88
2003,88
2003,88
2003,88
2003,89
2003,89
2003,89
2003,89
2003,90
2003,90
2003,90
2003,90
2003,90
2003,90
2003,90
2003,90
2003,91
2003,91
2003,91
2003,91
2003,92
2003,92
2003,92
2003,92
2003,92
2003,92
2003,93
2003,93
2003,93
2003,94
2003,94
2003,94
2003,96
2003,96
2003,NA
2004,2
2004,2
2004,4
2004,4
2004,6
2004,8
2004,23
2004,23
2004,26
2004,29
2004,30
2004,32
2004,34
2004,35
2004,35
2004,35
2004,36
2004,37
2004,38
2004,39
2004,41
2004,41
2004,42
2004,43
2004,43
2004,43
2004,43
2004,44
2004,44
2004,45
2004,45
2004,45
2004,46
2004,47
2004,47
2004,48
